,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,policy
14000,7987168.664498191,130006996.01818538,1060500000.0,504.38875325350375,0.000421785439616,scenario 3 policy 0
14001,83139.5162061287,130006996.01818538,1060500000.0,6.209193718379289,6.117531584390094e-06,scenario 3 policy 0
14002,1598337.773364287,130006996.01818538,1060500000.0,121.52545268088925,0.0001141601532063,scenario 3 policy 0
14003,3007901.31122122,130006996.01818538,1060500000.0,191.34849957298508,0.0001820463044389,scenario 3 policy 0
14004,29604126.83581293,130006996.01818538,1060500000.0,1720.9049681437557,0.0043998688207019,scenario 3 policy 0
14005,7766354.458059614,130006996.01818538,1060500000.0,501.1158436927348,0.0004127638954609,scenario 3 policy 0
14006,1731550.3413438904,130006996.01818538,1060500000.0,123.00025342260844,0.0001192499788808,scenario 3 policy 0
14007,11418125.290876556,130006996.01818538,1060500000.0,888.6013852881935,0.0006953225284974,scenario 3 policy 0
14008,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14009,2127835.8681038334,130006996.01818538,1060500000.0,189.09478909158923,0.0001742683089804,scenario 3 policy 0
14010,548364.7303887507,130006996.01818538,1060500000.0,46.51897366525745,4.483396414205402e-05,scenario 3 policy 0
14011,4778072.860471267,130006996.01818538,1060500000.0,323.36837538694454,0.0004613426185096,scenario 3 policy 0
14012,3507650.4530386105,130006996.01818538,1060500000.0,208.6821377846166,0.0002187387708129,scenario 3 policy 0
14013,28487514.352236733,130006996.01818538,1060500000.0,1481.386779756962,0.0023212603874856,scenario 3 policy 0
14014,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14015,66011194.08885794,130006996.01818538,1060500000.0,5864.385799437569,0.0035427850951851,scenario 3 policy 0
14016,45337985.45067952,130006996.01818538,1060500000.0,3746.737498364465,0.0024111580511181,scenario 3 policy 0
14017,18130578.54859957,130006996.01818538,1060500000.0,1326.6228396792446,0.0010087634196775,scenario 3 policy 0
14018,1680351.128769468,130006996.01818538,1060500000.0,121.32606935994032,0.0001134720423874,scenario 3 policy 0
14019,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14020,112800.65849643837,130006996.01818538,1060500000.0,6.317791546673169,6.492323920069058e-06,scenario 3 policy 0
14021,2703190.013467849,130006996.01818538,1060500000.0,190.83628706276943,0.0001802785589316,scenario 3 policy 0
14022,14593070.810300214,130006996.01818538,1060500000.0,873.7957195157003,0.0018152979995984,scenario 3 policy 0
14023,35925855.2098523,130006996.01818538,1060500000.0,1483.9302490457162,0.005555888326695,scenario 3 policy 0
14024,15956798.895678794,130006996.01818538,1060500000.0,1327.916242684409,0.0010103896696956,scenario 3 policy 0
14025,970271.3782592542,130006996.01818538,1060500000.0,83.68450081301506,8.237967804005416e-05,scenario 3 policy 0
